model,valore_AIC,valore_BIC_data,valore_BIC_subject,valore_LogLikelihood,signifi_interc1,signifi_linear1,signifi_quadra1,signifi_cubic1,signifi_quarti1,signifi_interc2,signifi_linear2,signifi_quadra2,signifi_cubic2,signifi_quarti2,signifi_interc3,signifi_linear3,signifi_quadra3,signifi_cubic3,signifi_quarti3,signifi_interc4,signifi_linear4,signifi_quadra4,signifi_cubic4,signifi_quarti4
1433,-9476,-9548,-9526,-9458,3,3,,,,3,0,0,0,1,3,0,0,2,,3,3,3,3,
1434,-9491,-9566,-9543,-9472,3,2,,,,3,0,0,0,1,3,0,0,2,,3,0,2,3,3
1441,-9549,-9617,-9596,-9532,3,3,,,,3,0,0,0,2,3,0,0,0,0,0,3,,,
1442,-9495,-9566,-9544,-9477,3,2,,,,3,0,0,0,0,3,0,0,0,0,3,3,3,,
1443,-9495,-9571,-9547,-9476,3,2,,,,3,0,0,0,0,3,0,0,0,0,3,3,0,0,
1444,-9476,-9556,-9531,-9456,3,3,,,,3,0,0,0,2,3,1,1,1,0,3,2,0,0,0
2111,-9510,-9558,-9543,-9498,3,3,3,,,3,3,,,,3,3,,,,3,3,,,
2112,-9505,-9557,-9541,-9492,3,3,1,,,3,2,,,,3,3,,,,3,3,3,,
2113,-9505,-9561,-9544,-9491,3,3,2,,,3,2,,,,3,3,,,,3,3,0,0,
2114,-9774,-9834,-9815,-9759,0,0,0,,,0,0,,,,0,0,,,,0,0,0,0,0
2121,-9501,-9553,-9537,-9488,3,3,3,,,3,3,,,,3,2,3,,,3,2,,,
2122,-9472,-9528,-9511,-9458,3,3,3,,,3,3,,,,3,3,3,,,3,3,3,,
2123,-9472,-9532,-9513,-9457,3,3,3,,,3,3,,,,3,3,3,,,3,3,0,0,
2124,-9471,-9535,-9515,-9455,3,3,3,,,3,3,,,,3,3,3,,,3,0,1,2,1
2131,-9496,-9552,-9534,-9482,3,3,3,,,3,3,,,,3,0,1,3,,3,3,,,
2132,-9499,-9559,-9540,-9484,3,3,2,,,3,0,,,,3,0,0,2,,3,3,3,,
2133,-9499,-9563,-9543,-9483,3,3,2,,,3,1,,,,3,0,0,2,,3,3,0,0,
2134,-9464,-9532,-9511,-9447,3,3,3,,,3,3,,,,3,0,0,0,,3,2,0,0,0
2141,-9501,-9561,-9543,-9486,3,3,3,,,3,3,,,,3,0,0,0,0,3,2,,,
2142,-9471,-9535,-9515,-9455,3,3,3,,,3,3,,,,3,0,1,1,0,3,3,3,,
2143,-9464,-9531,-9510,-9447,3,3,3,,,3,3,,,,3,0,0,0,0,3,3,3,3,
2144,-9497,-9569,-9547,-9479,3,3,2,,,3,0,,,,3,0,0,0,0,3,0,2,3,3
2211,-9501,-9553,-9537,-9488,3,2,3,,,3,3,3,,,3,3,,,,3,2,,,
2212,-9481,-9536,-9519,-9467,3,3,3,,,3,2,3,,,3,3,,,,3,3,3,,
2213,-9480,-9540,-9521,-9465,3,3,3,,,3,2,3,,,3,3,,,,3,3,0,1,
2214,-9621,-9685,-9666,-9605,0,0,0,,,0,0,0,,,0,0,,,,0,0,0,0,0
2221,-9493,-9549,-9532,-9479,3,3,3,,,3,0,3,,,3,3,3,,,3,3,,,
2222,-9467,-9527,-9509,-9452,3,3,3,,,3,2,3,,,3,3,3,,,3,3,3,,
2223,-9460,-9524,-9504,-9444,3,3,3,,,3,2,3,,,3,3,3,,,3,3,3,3,
2224,-9466,-9534,-9513,-9449,3,3,3,,,3,2,3,,,3,3,3,,,3,0,1,2,2
2231,-9499,-9559,-9540,-9484,3,3,3,,,3,3,2,,,3,0,0,2,,3,0,,,
2232,-9557,-9621,-9601,-9541,3,3,3,,,3,2,2,,,3,3,3,3,,0,0,0,,
2233,-9465,-9533,-9512,-9448,3,3,3,,,3,2,3,,,3,0,0,2,,3,3,0,1,
2234,-9465,-9537,-9514,-9447,3,3,3,,,3,2,3,,,3,0,0,2,,3,0,1,2,2
2241,-9500,-9564,-9544,-9484,3,3,3,,,3,3,2,,,3,0,0,0,0,3,0,,,
